,AWSSI,TempScore,SnowScore,Length,start_scale,end_scale,Total_Admits,male,female,white,black,No_HS_degree,HS_grad,college,nvr_mrrd,some_marriage,working,no_work
AWSSI,1.0,0.822480866307915,0.9748552751831348,0.3896339356767229,0.2473438178067713,0.226870717428727,-0.34460772061179684,-0.34128549492242877,-0.3068091468346425,-0.33971366748373294,-0.27641029771287134,-0.1541780121707031,-0.35341353804415293,-0.21387760235202136,-0.37372590536614486,-0.28746332099739896,-0.3265442558704647,-0.3196985243034318
TempScore,0.822480866307915,1.0,0.6750506324139584,0.42667774247675017,0.18277447949416814,0.3428644822388245,-0.3080104543173048,-0.29428996379128564,-0.3011952078373212,-0.2974143224678535,-0.16642147680552388,-0.028755725078637415,-0.2616700715766222,-0.3005222891289555,-0.35102554148895004,-0.2213064340195737,-0.27373930816401215,-0.2730416012103411
SnowScore,0.9748552751831348,0.6750506324139584,1.0,0.3382257436266302,0.2492189247904352,0.15994431337631176,-0.32631391628509554,-0.32738006279134013,-0.2799560764152675,-0.3241172258198803,-0.2933272615888974,-0.18871588612686344,-0.35589080724124184,-0.15967978929971127,-0.3472303697416639,-0.2861613810557901,-0.31631069169202464,-0.30770455445521755
Length,0.3896339356767229,0.42667774247675017,0.3382257436266302,1.0,0.6440719947488748,0.5723385854087438,-0.4255853690928049,-0.4097050999562076,-0.4086838637459138,-0.4256994444776919,-0.18781479610641857,-0.1843162611138512,-0.38605052059271877,-0.29452814470267125,-0.44345506849915056,-0.3731755583838142,-0.4191000895337794,-0.37736911667776357
start_scale,0.2473438178067713,0.18277447949416814,0.2492189247904352,0.6440719947488748,1.0,-0.25865725994053645,-0.3039380814259264,-0.36176170093510474,-0.11386904097666845,-0.29763133354102117,-0.4330827567309335,-0.4196744990548293,-0.42063295392848105,0.11259755373907525,-0.29258416082289224,-0.33300016912613445,-0.19144962102061536,-0.3806082504456708
end_scale,0.226870717428727,0.3428644822388245,0.15994431337631176,0.5723385854087438,-0.25865725994053645,1.0,-0.21160164367282538,-0.12956359668759299,-0.39400686534817647,-0.21850632189087027,0.22708506200193315,0.21712966672073028,-0.036585411326310116,-0.4926200789043481,-0.2463378672631629,-0.11426687611459152,-0.32399623546861966,-0.06852803468375286
Total_Admits,-0.34460772061179684,-0.3080104543173048,-0.32631391628509554,-0.4255853690928049,-0.3039380814259264,-0.21160164367282538,1.0,0.9856545023854915,0.9008324020048963,0.9967702572994315,0.6193603798967275,0.6043328381049574,0.9054241691203972,0.5394982626377334,0.9760876490997911,0.9591971333202199,0.8961438650566115,0.9487449908448102
male,-0.34128549492242877,-0.29428996379128564,-0.32738006279134013,-0.4097050999562076,-0.36176170093510474,-0.12956359668759299,0.9856545023854915,1.0,0.814635720758533,0.9805015435000003,0.725139082249956,0.7224859289962633,0.941427298579543,0.39596571728076874,0.9419955894508129,0.9808485523729814,0.8221563352825246,0.9858397905304621
female,-0.3068091468346425,-0.3011952078373212,-0.2799560764152675,-0.4086838637459138,-0.11386904097666845,-0.39400686534817647,0.9008324020048963,0.814635720758533,1.0,0.902957076308628,0.2636811699762075,0.21842475920505866,0.6906693286920631,0.8347054546290202,0.9313867947534205,0.7727140379531805,0.9652457892936777,0.724063138703327
white,-0.33971366748373294,-0.2974143224678535,-0.3241172258198803,-0.4256994444776919,-0.29763133354102117,-0.21850632189087027,0.9967702572994315,0.9805015435000003,0.902957076308628,1.0,0.5864353752161562,0.6011382594770133,0.8926349911426005,0.5453647165545946,0.9656854911125748,0.9635950329242781,0.8974762161872036,0.9419540842238472
black,-0.27641029771287134,-0.16642147680552388,-0.2933272615888974,-0.18781479610641857,-0.4330827567309335,0.22708506200193315,0.6193603798967275,0.725139082249956,0.2636811699762075,0.5864353752161562,1.0,0.8932394261458787,0.8288997945665113,-0.2569390105077762,0.5707025322727266,0.6934080016633467,0.3407179611994031,0.787185789780673
No_HS_degree,-0.1541780121707031,-0.028755725078637415,-0.18871588612686344,-0.1843162611138512,-0.4196744990548293,0.21712966672073028,0.6043328381049574,0.7224859289962633,0.21842475920505866,0.6011382594770133,0.8932394261458787,1.0,0.764988517528471,-0.3288421584959098,0.4812634863046072,0.7674845906142672,0.2758269093856707,0.8042479548920649
HS_grad,-0.35341353804415293,-0.2616700715766222,-0.35589080724124184,-0.38605052059271877,-0.42063295392848105,-0.036585411326310116,0.9054241691203972,0.941427298579543,0.6906693286920631,0.8926349911426005,0.8288997945665113,0.764988517528471,1.0,0.20975145198933481,0.8947203858263565,0.8919347514589918,0.7649145745114347,0.9294773834897504
college,-0.21387760235202136,-0.3005222891289555,-0.15967978929971127,-0.29452814470267125,0.11259755373907525,-0.4926200789043481,0.5394982626377334,0.39596571728076874,0.8347054546290202,0.5453647165545946,-0.2569390105077762,-0.3288421584959098,0.20975145198933481,1.0,0.6141837956179163,0.34680641697275594,0.7476148260471942,0.273191905628906
nvr_mrrd,-0.37372590536614486,-0.35102554148895004,-0.3472303697416639,-0.44345506849915056,-0.29258416082289224,-0.2463378672631629,0.9760876490997911,0.9419955894508129,0.9313867947534205,0.9656854911125748,0.5707025322727266,0.4812634863046072,0.8947203858263565,0.6141837956179163,1.0,0.8785674718930566,0.943644985731362,0.8817642237289536
some_marriage,-0.28746332099739896,-0.2213064340195737,-0.2861613810557901,-0.3731755583838142,-0.33300016912613445,-0.11426687611459152,0.9591971333202199,0.9808485523729814,0.7727140379531805,0.9635950329242781,0.6934080016633467,0.7674845906142672,0.8919347514589918,0.34680641697275594,0.8785674718930566,1.0,0.767605216455135,0.9797376911702409
working,-0.3265442558704647,-0.27373930816401215,-0.31631069169202464,-0.4191000895337794,-0.19144962102061536,-0.32399623546861966,0.8961438650566115,0.8221563352825246,0.9652457892936777,0.8974762161872036,0.3407179611994031,0.2758269093856707,0.7649145745114347,0.7476148260471942,0.943644985731362,0.767605216455135,1.0,0.7190210836738563
no_work,-0.3196985243034318,-0.2730416012103411,-0.30770455445521755,-0.37736911667776357,-0.3806082504456708,-0.06852803468375286,0.9487449908448102,0.9858397905304621,0.724063138703327,0.9419540842238472,0.787185789780673,0.8042479548920649,0.9294773834897504,0.273191905628906,0.8817642237289536,0.9797376911702409,0.7190210836738563,1.0
